,0
президента,183
президент,134
зеленський,131
депутат,127
влада,119
рішення,107
народу,106
джо,95
байдена,90
газ,87
законопроєкт,87
опозиційна,77
платформа,73
партії,72
ток-шоу,59
влади,57
зеленського,57
росії,55
референдум,48
трампа,46
газу,46
рада,45
словами,45
міністра,45
фракції,44
байден,44
міністр,44
вакцини,43
співголова,42
справ,42
тарифів,41
питань,41
верховної,41
криму,41
санкції,41
країни,39
безпеки,38
навального,38
програми,38
слуга,37
закордонних,37
суд,36
громадян,36
міністрів,35
шмигаль,35
верховна,34
бойко,34
кравчук,34
експерт,33
санкцій,33
утримуваних,33
донбасі,33
мзс,32
депутатів,32
рабінович,31
посаду,31
закон,31
енергетики,31
прав,31
закону,30
населення,30
обсє,30
держави,29
зброї,29
медведчук,29
телеканали,29
кива,28
ордло,28
санду,28
марчевський,27
голова,27
вітренка,26
парламенту,26
національної,26
звільнення,26
коронавірусу,25
засідання,24
імпічмент,24
вакцину,24
читанні,24
представників,24
голосування,23
конфлікту,23
права,23
державної,23
платформи,23
лінде,23
німеччини,22
донбасу,22
делегації,22
мови,22
молдови,22
медведчуку,21
парламентар,21
порошенка,21
уряду,20
опзж,20
лідерів,20
білорусі,20
депутати,20
уряд,20
економіки,20
країн,20
дональда,19
вибори,19
ікону,19
сбу,19
бюро,19
ткг,18
медведчука,18
боснії,18
раді,18
мовою,18
трамп,17
проголосували,17
території,17
радників,17
парє,17
скорочення,17
оборони,17
перейменування,17
разумков,17
інавгурації,16
рнбо,16
російського,16
франції,16
підтримку,16
лнр,15
кабінет,15
заступник,15
скликання,15
владою,15
розвитку,15
політики,15
фракція,14
миру,14
слуги,14
режиму,14
зустріч,14
карантину,14
розглянути,14
провадження,13
партія,13
дональд,13
суду,13
російської,13
днр,13
української,13
призначення,13
врегулювання,13
міністерство,13
політолог,13
відставку,12
указ,12
політради,12
ключові,12
посаді,12
політика,12
опозиціонера,12
всеукраїнський,12
проєкт,12
комітету,12
країну,11
свободу,11
посади,11
українських,11
нардепи,11
державного,11
нормандському,11
протести,11
переговори,11
нато,11
опозиційної,10
російських,10
розслідувань,9
легалізацію,9
штатів,9
глава,9
президенту,9
стратегічних,9
кандидатуру,9
політику,9
окупованих,9
територій,9
імпічменту,9
китаю,9
опозиціонерка,9
конституції,9
референдуму,9
вакцинації,9
конституційного,9
додік,9
кабмін,9
суддів,9
рейтинг,8
кримської,8
засіданні,8
ставлення,8
європейський,8
нормандської,8
четвірки,8
забезпечення,8
субсидії,8
розслідування,8
оподаткування,8
оон,8
локдаун,8
вакцин,8
тристоронній,9
реінтеграції,8
відносини,8
втручання,7
асамблеї,7
публіцист,7
герцеговини,7
парламенті,7
парламент,7
чинності,7
сенат,7
деокупації,7
шмигаля,7
порошенко,7
росія,7
лаврову,7
військової,7
вакцинацію,7
меркель,7
дбр,7
фашизм,7
союз,6
електроенергії,6
герцеговині,6
посол,6
політиків,6
нардепів,6
столичний,6
законопроєкти,6
закликав,6
нардеп,6
повноважень,6
прем'єр-міністр,6
медіахолдингу,6